WrdEngID	WrdEng	pRoman
58	key	ˈkiː;কি
59	girl	ˈgərl;গাৰ্ল
60	boy	ˈbɔɪ;বই
61	mother	ˈməðər;মাডাৰ
62	father	ˈfɑðər;ফাডাৰ
63	grandfather	ˈgrænˌfɑðər;গ্ৰেণ্ডফাডাৰ
64	grandmother	ˈgrænˌməðər;গ্ৰেণ্ডমাডাৰ
65	uncle	ˈəŋkəl;আংকল
66	aunty	[aunty];আণ্টি
67	kidnapped	ˈkɪdˌnæpt;কিড্‌নেপ্ট
68	road	ˈroʊd;ৰ’ড
69	read	ˈriːd;ৰিড
70	bayonet	ˈbeɪənət;বনেট
71	living being	ˈlɪvɪŋ ˈbiː(ɪ)ŋ;লিভিং বিইং
72	life	ˈlaɪf;লাইফ্
73	crate	ˈkreɪt;ক্ৰেইট
74	meeting	ˈmiːtɪŋ;মিটিং
75	literature	ˈlɪtərəˌtʃʊr;লিট্ৰেচাৰ
76	sin	ˈsɪn;চিন
77	brother	ˈbrəðər;ব্ৰাডাৰ
78	shop	ˈʃɑp;চ’প
79	costly	ˈkɔsliː;কষ্ট্‌লি
80	run	ˈrən;ৰান
81	broker	ˈbroʊkər;ব্ৰ’কাৰ
82	street	ˈstriːt;ষ্ট্ৰিট্
83	king	ˈkɪŋ;কিং
84	queen	ˈkwiːn;কুইন
85	rose	ˈroʊz;ৰ’জ
86	brain	ˈbreɪn;ব্ৰেইন্
87	soul	ˈsoʊl;চ’ল
88	tour	ˈtʊr;টুৰ
89	water	ˈwɔtər;ৱাটাৰ
90	professor	prəˈfesər;প্ৰাফেচাৰ
91	great	ˈgreɪt;গ্ৰেইট্
92	hell	ˈhel;হেল
93	heaven	ˈhevən;হেভেন
94	unaccessible	ˌənɪkˈsesəbəl;আনএকচিচিব’ল
95	earth	ˈərθ;আৰ্থ
96	world	ˈwərld;ৱ’ৰ্লড
97	moon	ˈmuːn;মুন
98	aeroplane	ˈerəˌpleɪn;এৰ’প্লেইন্
99	book	ˈbʊk;বুক
100	deep	ˈdiːp;ডিপ
101	electricity	ɪˌlekˈtrɪsətiː;ইলেক্‌ট্ৰিচিটি
102	electric	ɪˈlektrɪk;ইলেক্‌ট্ৰিক্
103	alternative	ɔlˈtərnətɪv;অলটাৰ্নেটিভ
104	age	ˈeɪdʒ;এইজ
105	own	ˈoʊn;অ’ৱন
106	time	ˈtaɪm;টাইম
107	what	ˈwɑt;হুৱাট
108	why	ˈwaɪ;হুৱাই
109	island	ˈaɪlənd;আইলেণ্ড
110	temperature	ˈtempəˌtʃʊr;টেম্পেৰেচাৰ
111	hot	ˈhɑt;হট
112	wax	ˈwæks;ৱেক্স
113	cheat	ˈtʃiːt;চিট
114	tuesday	ˈtuːzdeɪ;টিউজডে
115	crane	ˈkreɪn;ক্ৰেইন
116	competition	ˌkɑmpəˈtɪʃən;ˌকমপিটিচন
117	understand	ˌəndərˈstænd;আণ্ডাৰষ্টেণ্ড
118	up	ˈəp;আপ
119	down	ˈdæʊn;ডাউন
120	downwards	ˈdæʊnwərds;ডাউনৱাৰ্ডচ
121	it	ˈɪt;ইট্
122	here	ˈhɪr;হিয়েৰ
123	it’s	ɪts;ইট্‌চ
124	fail	ˈfeɪl;ফেইল
125	behavior	bɪˈheɪvjər;বিহেভিয়াৰ
126	this	ˈðɪs;ডিচ্
127	color	ˈkələr;কালাৰ
128	love	ˈləv;লাভ
129	day	ˈdeɪ;ডেই
130	alcohol	ˈælkəˌhɔl;এলক’হল
131	get	ˈget;গেট
132	no	ˈnoʊ;ন’
133	yes	ˈjes;য়েচ
134	for	fər;ফৰ
135	reason	ˈriːzən;ৰিজন
136	poetry	ˈpoʊətriː;প’য়েট্ৰি
137	used	ˈjuːzd;ইউজ্‌ড
138	gate	ˈgeɪt;গেইট
139	government	ˈgəvər(n)mənt;গভৰ(ন)মেণ্ট
140	do	ˈduː;ডু
141	suddenly	ˈsədənˌli;চাডেন্‌লি
142	shame	ˈʃeɪm;চেইম
143	star	ˈstɑr;ষ্টাৰ
144	rather	ˈræðər;ৰাডাৰ
145	distant	ˈdɪstənt;ডিষ্টেণ্ট
146	money	ˈməniː;মানি
147	film	ˈfɪlm;ফিল্ম
148	well	ˈwel;ৱেল
149	rhino	ˈraɪnoʊ;ৰাইন’
150	dog	ˈdɔg;ডগ
151	cat	ˈkæt;কেট
152	snail	ˈsneɪl;স্নেইল
153	storm	ˈstɔrm;ষ্টৰ্ম
154	letter	ˈletər;লেটাৰ
155	ganges	ˈgænˌdʒiːz;গেনজিজ
156	grasses	ˈgræsɪz;গ্ৰাচেচ
157	dear	ˈdɪr;ডিয়েৰ
158	go	ˈgoʊ;গৌ
159	explode	ɪkˈsploʊd;এক্সপ্লোড
160	friday	ˈfraɪdeɪ;ফ্ৰাইডে
161	naked	ˈneɪkəd;নেকেড
162	wednesday	ˈwenzdeɪ;ৱেডনেজডে
163	accumulate	əˈkjuːməˌleɪt;একিউমˌলেইট
164	buy	ˈbaɪ;বাই
165	sell	ˈsel;চেল
166	tell	ˈtel;টেল
167	laugh	ˈlæf;লাফ
168	cross	ˈkrɔs;ক্ৰচ
169	faith	ˈfeɪθ;ফেইথ
170	where	ˈwer;হুৱেৰ
171	spring	ˈsprɪŋ;স্প্ৰিং
172	passenger	ˈpæsəndʒər;পেচেঞ্জাৰ
173	mug	ˈməg;মগ
174	sink	ˈsɪŋk;চিংক
175	machine	məˈʃiːn;মেচিন
176	mango	ˈmæŋgoʊ;মেংগ’
177	mourn	ˈmɔrn;ম’ৰ্ন
178	done	ˈdən;ডান
179	banana	bəˈnænə;বানানা
180	lets go	ˈlets ˈgoʊ;লেট্‌চ গ’
181	chart	ˈtʃɑrt;চাৰ্ট
182	big	ˈbɪg;বিগ
183	apple	ˈæpəl;এপল্
184	philosophy	fəˈlɑsfiː;ফিল’চ’ফি
185	erudite	ˈerəˌdaɪt;এৰুডাইট
186	sky	ˈskaɪ;স্কাই
187	proof	ˈpruːf;প্ৰুফ
188	attached	əˈtætʃt;এটাচ্‌ড
189	nation	ˈneɪʃən;নেইচন
190	static	ˈstætɪk;ষ্টেটিক
191	state	ˈsteɪt;ষ্টেইট্
192	district	ˈdɪstrɪkt;ডিষ্ট্ৰিক্ট্
193	pleasure	ˈpleʒər;প্লেজৰ
194	wish	ˈwɪʃ;ৱিচ
195	rainy season	ˈreɪniː ˈsiːzən;ৰেইনি চিজন
196	God	ˈgɑd;গড
197	philosopher	fəˈlɑsfər;ফিল’চ’ফাৰ
198	so	ˈsoʊ;চ’
199	game	ˈgeɪm;গেইম
200	end	ˈend;এণ্ড
201	month	ˈmənθ;মান্থ
202	then	ˈðen;ডেন
203	customer	ˈkəstəmər;কাষ্টমাৰ
204	accept	ɪkˈsept;এক্‌চেপ্ট
205	active	ˈæktɪv;একটিভ
206	via	ˈvaɪə;ভায়া
207	get up	ˈget ˈəp;গেট আপ
208	and	ənd;এণ্ড
209	feet	fit;ফিট
210	slowly	ˈsloʊˌli;স্ল’লি
211	who	ˈhuː;হু
212	wheel	ˈwiːl;হুৱিল
213	design	dɪˈzaɪn;ডিজাইন
214	supply	səˈplaɪ;চাপ্লাই
215	build	ˈbɪld;বিলড
216	friendship	ˈfrenˌʃɪp;ফ্ৰেণ্ডচিপ্
217	justice	ˈdʒəstəs;জাষ্টিচ্
218	highway	ˈhaɪˌweɪ;হাইৱে
219	from	ˈfrəm;ফ্ৰম
220	rent	ˈrent;ৰেণ্ট
221	follow	ˈfɑloʊ;ফ’ল’
222	field	ˈfiːld;ফিল্ড
223	for example	fər ɪgˈzæmpəl;ফৰ এক্সাম্পল
224	skill	ˈskɪl;স্কিল
225	multinational	[multiˈnæʃnəl];মাল্টিনেচেনল
226	add	ˈæd;এড
227	table	ˈteɪbəl;টেবল
228	chain	ˈtʃeɪn;চেইন
229	by	ˈbaɪ;বাই
230	inertia	ɪˈnərʃə;ইনাৰ্চিয়া
231	signal	ˈsɪgnəl;চিগনেল
232	process	ˈprɑˌses;প্ৰচেচ
233	firm	ˈfərm;ফাৰ্ম
234	work	ˈwərk;ৱৰ্ক
235	fixed	ˈfɪkst;ফিক্সড
236	speed	ˈspiːd;স্পিড
237	distance	ˈdɪstəns;ডিচষ্টেনচ
238	failure	ˈfeɪljər;ফেইলয়ৰ
239	light	ˈlaɪt;লাইট
240	admit	ədˈmɪt;এডমিট
241	map	ˈmæp;মেপ
242	ray	ˈreɪ;ৰেই
243	rain	ˈreɪn;ৰেইন
244	front	ˈfrənt;ফ্ৰণ্ট
245	come	ˈkəm;কাম
246	laughter	ˈlæftər;লাফটাৰ
247	equipment	ɪˈkwɪpmənt;ইকুৱিপ্টমেণ্ট
248	establish	ɪˈstæblɪʃ;এষ্টাব্লিচ্‌
249	shudder	ˈʃədər;চেডাৰ
250	rainbow	ˈreɪnˌbæʊ;ৰেইন বৌ
251	damodar	ˈdɑməˌdɑr;ডাম’ডৰ
252	controlled	kənˈtroʊld;কনট্ৰ’ল্‌ড
253	now	ˈnæʊ;নাউ
254	balance	ˈbæləns;বেলেঞ্চ
255	skull	ˈskəl;স্কাল
256	science	ˈsaɪəns;চাইঞ্চ
257	dictionary	ˈdɪkʃəˌneriː;ডিকচনেৰি/ডিচনেৰি
258	triangle	ˈtraɪˌæŋgəl;ট্ৰাইয়েংগ’ল
259	square	ˈskwer;স্কোৱেৰ
260	blood	ˈbləd;ব্লাড
261	radioactive	ˌreɪdiːoʊˈæktɪv;ˌৰেডিঅ’এক্টিভ্‌
262	analyse	ˈænəˌlaɪz;এনালাইজ্
263	decay	dɪˈkeɪ;ডিকেই
264	winter	ˈwɪntər;ৱিণ্টাৰ
265	zero	ˈziːroʊ;জিৰ’
266	empty	ˈem(p)tiː;এম্পটি
267	humidity	hjuːˈmɪdətiː;হিউমিডিটি
268	molecule	ˈmɑlɪˌkjuːl;মলিকিউল
269	area	ˈeriːə;এৰিয়া
270	fossil	ˈfɑsəl;ফচিল
271	living	ˈlɪvɪŋ;লিভিং
272	border	ˈbɔrdər;বৰ্ডাৰ
273	frontier	ˌfrənˈtɪr;ˌফ্ৰনটিয়াৰ
274	date	ˈdeɪt;ডেইট্
275	atom	ˈætəm;এটম্
276	donation	doʊˈneɪʃən;ড’নেচন
277	year	ˈjɪr;ইয়েৰ
278	dream	ˈdriːm;ড্ৰিম
279	total	ˈtoʊtəl;ট’টল
280	project	ˈprɑˌdʒekt;প্ৰজেক্ট
281	magnet	ˈmægnət;মেগনেট
282	saturday	ˈsætərdeɪ;চেটাৰডে
283	circle	ˈsərkəl;চাৰ্কল
284	density	ˈdensətiː;ডেনচিটি
285	pressure	ˈpreʃər;প্ৰেচাৰ
286	direction	dəˈrekʃən;ডাৰেকচন
287	angle	ˈæŋgəl;এংগল
288	demon	ˈdiːmən;ডিমন
289	pendulum	[pendulum];পেণ্ডুলাম
290	dipole	ˈdaɪˌpoʊl;ডাইপ’ল
291	velocity	vəˈlɑsətiː;ভেল’চিটি
292	cross-section	ˈkrɔsˈsekʃən;ক্ৰচ-চেকচন
293	curvature	ˈkərvəˌtʃʊr;কৰ্ভেচাৰ
294	radiate	ˈreɪdiːˌeɪt;ৰেডিয়েট
295	conductor	kənˈdəktər;কনডাক্টৰ
296	deform	dɪˈfɔrm;ডিফৰ্ম
297	move	ˈmuːv;মুভ
298	dead	ˈded;ডেইড
299	death	ˈdeθ;ডেইথ
300	sunday	ˈsəndeɪ;চানডে
301	poverty	ˈpɑvərtiː;পভাৰ্টি
302	poor	ˈpʊr;পুৱৰ
303	rich	ˈrɪtʃ;ৰিচ
304	wealth	ˈwelθ;ৱেল্থ
305	television	ˈteləˌvɪʒən;টেলিভিচন
306	enter	ˈentər;এণ্টাৰ
307	prohibition	ˌproʊəˈbɪʃən;ˌপ্ৰহিবিচন
308	translation	trænsˈleɪʃən;ট্ৰেন্‌চলেচন
309	language	ˈlæŋgwɪdʒ;লেংগুৱেজ
310	criminal	ˈkrɪmənəl;ক্ৰিমিনেল
311	crime	ˈkraɪm;ক্ৰাইম্
312	jackal	] ˈdʒækəl;] জেকেল
313	monkey	ˈməŋkiː;মংকি
314	wound	ˈwuːnd;ৱুণ্ড
315	throat	ˈθroʊt;থ্ৰ’ট্
316	shape	ˈʃeɪp;চেইপ
317	in front	ˈɪn ˈfrənt;ইন্ ফ্ৰণ্ট
318	endless	ˈenləs;এণ্ডলেচ
319	moment	ˈmoʊmənt;ম’মেণ্ট
320	cell	ˈsel;চেল
321	education	ˌedʒəˈkeɪʃən;এডুকেচন
322	teacher	ˈtiːtʃər;টিচাৰ
323	forgive	fərˈgɪv;ফৰগিভ
324	line	ˈlaɪn;লাইন
325	ant	ˈænt;এণ্ট
326	unculture	ˌənˈkəltʃər;আনকালচাৰ
327	peda	[peda];পেড়া
328	famous	ˈfeɪməs;ফেমাচ
329	ancient	ˈeɪnʃənt;এন্‌চিয়েণ্ট
330	decade	ˈdeˌkeɪd;ডেকেড
331	etc	[cetera];একচেট্ৰা
332	subtract	səbˈtrækt;চাবট্ৰেক্ট
333	saturn	ˈsætərn;চেটাৰ্ন
334	multiply	ˈməltəˌplaɪ;মাল্টিপ্লাই
335	divide	dəˈvaɪd;ডিভাইড
336	movie	ˈmuːviː;মুভি
337	salary	ˈsælriː;চেলাৰি
338	mouse	ˈmæʊs;মাউচ
339	man	ˈmæn;মেন
340	woman	ˈwʊmən;ৱুমেন
341	development	dɪˈveləpmənt;ডেভেলপমেণ্ট
342	radio	ˈreɪdiːˌoʊ;ৰেডিঅ
343	watch	ˈwɑtʃ;ৱাট্‌চ
344	era	ˈerə;এৰা
345	river	ˈrɪvər;ৰিভাৰ
346	dip	ˈdɪp;ডিপ
347	inclination	ˌɪnkləˈneɪʃən;ˌইনক্লিনেইচন
348	slope	ˈsloʊp;স্ল’প
349	statistics	stəˈtɪstɪks;ষ্টেটিষ্টিক্স
350	space	ˈspeɪs;স্পেইচ
351	theory	ˈθiːəriː;থিয়ৰি
352	formula	ˈfɔrmjələ;ফৰ্মুলা
353	mechanics	mɪˈkænɪks;মিকানিক্স
354	ring	ˈrɪŋ;ৰিং
355	co-ordinate	[co ˈɔrdnət];ক’ অৰ্ডিনেট্
356	coordinate	koʊˈɔrdnət;ক’অৰ্ডনেট্
357	capacitor	kəˈpæsətər;কেপাচিটৰ
358	condenser	kənˈdensər;কনডেন্‌চাৰ
359	logarithm	ˈlɔgəˌrɪðəm;লগাৰিথ্‌ম
360	axial	ˈæksiːəl;এক্সিয়েল
361	digit	ˈdɪdʒət;ডিজিট
362	telemetry	təˈlemətriː;টেলিমেট্ৰি
363	telescope	ˈteləˌskoʊp;টেলিস্ক’প
364	microscope	ˈmaɪkrəˌskoʊp;মাইক্ৰস্ক’প
365	telecommunication	ˌtelɪkəˌmjuːnəˈkeɪʃən;ˌটেলিক’মিউনিকেচন
366	fluctuation	ˌfləktʃəˈweɪʃən;ˌফ্লাকচুৱেচন
367	galaxy	ˈgæləksiː;গেলেক্সি
368	planet	ˈplænət;প্লেনেট
369	satellite	ˈsætəˌlaɪt;চেটেলাইট
370	wave	ˈweɪv;ৱেইভ
371	phone	ˈfoʊn;ফ’ন
372	male	ˈmeɪl;মেইল
373	female	ˈfiːˌmeɪl;ফিমেইল
374	goat	ˈgoʊt;গ’ট
375	about	əˈbæʊt;এবাউট
376	access	ˈækˌses;এক্‌চেচ
377	activate	ˈæktəˌveɪt;একটিভেট্
378	activities	ækˈtɪvətiːz;একটিভিটিজ
379	saboteur	ˌsæbəˈtər;ˌচাব’টৰ
380	ad	ˈæd;এড
381	after	ˈæftər;আফ্টাৰ
382	against	əˈgenst;এগেনষ্ট
383	all	ˈɔl;অল
384	allow	əˈlæʊ;এলাউ
385	almost	ˈɔlˌmoʊst;অল্‌ম’ষ্ট
386	already	ɔlˈrediː;অল্‌ৰেডি
387	also	ˈɔlsoʊ;অল্‌চ’
388	another	əˈnəðər;আনাডাৰ
389	any	ˈeniː;এনি
390	appeal	əˈpiːl;এপিল
391	application	ˌæpləˈkeɪʃən;ˌএপ্লিকেচন
392	approach	əˈproʊtʃ;এপ্ৰ’চ
393	article	ˈɑrtɪkəl;আৰটিকল
394	ask	ˈæsk;আস্ক
395	attack	əˈtæk;এটেক্
396	attempts	əˈtem(p)ts;এটেম(প)ট্‌চ
397	authorities	əˈθɑrətiːz;অথ’ৰিটিজ
398	available	əˈveɪləbəl;এভেইলেব্‌ল
399	body	ˈbɑdiː;বডি
400	bomb	ˈbɑm;বম্ব
401	both	ˈboʊθ;ব’থ
402	brave	ˈbreɪv;ব্ৰেইভ
403	bring	ˈbrɪŋ;ব্ৰিং
404	building	ˈbɪldɪŋ;বিল্ডিং
405	but	ˈbət;বাট
406	calm	ˈkɑm;কাম
407	care	ˈker;কেয়াৰ
408	cause	ˈkɔz;ক’জ
409	central	ˈsentrəl;চেন্ট্ৰেল
410	centre	ˈsentər;চেণ্টাৰ
411	century	ˈsenʃriː;চেন্‌চুৰি
412	chief	ˈtʃiːf;চিফ্‌
413	citizen	ˈsɪtəzən;চিটিজেন
414	city	ˈsɪtiː;চিটি
415	civil	ˈsɪvəl;চিভিল
416	code	ˈkoʊd;ক’ড
417	military	ˈmɪləˌteriː;মিলিটেৰি
418	oppose	əˈpoʊz;ঔপ’জ
419	optimum	ˈɑptəməm;অপটিমাম
420	or	ər;অৰ
421	order	ˈɔrdər;অৰ্ডাৰ
422	ordinary	ˈɔrdəˌneriː;অৰ্ডিনেৰি
423	organisation	[organisation];অৰ্গেনাইজেচন
424	otherwise	ˈəðər ˈwaɪz;আডাৰৱাইজ
425	our	ɑr;আৱাৰ
426	paper	ˈpeɪpər;পেপাৰ
427	party	ˈpɑrtiː;পাৰ্টি
428	peace	ˈpiːs;পিচ্
429	percentage	pərˈsentɪdʒ;পাৰ্চেণ্টেজ
430	personnel	ˌpərsəˈnel;পাৰ্চ’নেল
431	physical	ˈfɪzɪkəl;ফিজিকেল
432	piece	ˈpiːs;পিচ্
433	police	pəˈliːs;পুলিচ
434	political	pəˈlɪtɪkəl;পলিটিকেল
435	politician	ˌpɑləˈtɪʃən;ˌপলিটিচিয়ান
436	possible	ˈpɑsəbəl;পাচিব্‌ল
437	practice	ˈpræktəs;প্ৰেক্টিচ
438	president	ˈprezədənt;প্ৰেচিডেণ্ট
439	press	ˈpres;প্ৰেচ
440	programme	[programme];প্ৰ’গ্ৰাম
441	provide	prəˈvaɪd;প্ৰভাইড
442	put	ˈpʊt;পুট
443	receive	rɪˈsiːv;ৰিচিভ
444	soon	ˈsuːn;চুন
445	sound	ˈsæʊnd;চাউণ্ড
446	stop	ˈstɑp;ষ্টপ
447	study	ˈstədiː;ষ্টাডি
448	such	ˈsətʃ;চাচ
449	take	ˈteɪk;টেইক্
450	talk	ˈtɔk;টক
451	temple	ˈtempəl;টেম্প’ল
452	terrorist	ˈterər [ist];টেৰ’ৰিষ্ট
453	they	ˈðeɪ;ডেই
454	third	ˈθərd;থাৰ্ড
455	thousand	ˈθæʊzən;থাউজেন
456	three	ˈθriː;থ্ৰি
457	together	təˈgeðər;টুগেডাৰ
458	took	ˈtʊk;টুক
459	two	ˈtuː;টু
460	utilisation	ˌjuːtələˈzeɪʃən;ˌইউটিলাইজেইচন
461	very	ˈveriː;ভেৰি
462	view	ˈvjuː;ভিউ
463	violence	ˈvaɪləns;ভায়’লেঞ্চ
464	wheat	ˈwiːt;হুইট্
465	with	ˈwɪð;উইড্
466	writer	ˈraɪtər;ৰাইটাৰ
467	wrong	ˈrɔŋ;ৰং
468	partition	pɑrˈtɪʃən;পাৰ্টিচন
469	disabled	dɪsˈeɪbəld;ডিচেবল্ড
470	hybrid	ˈhaɪbrəd;হাইব্ৰিড
471	inexhaustible	ˌɪnɪgˈzɔstəbəl;ইনএক্সহষ্টিবল
472	irrefutable	ˌɪrɪˈfjuːtəbəl;ইৰিফিউটেবল
473	unperturbed	[un] pərˈtərbd;আনপাৰটাৰ্বড
474	unnecessary	ˌənˈnesəˌseriː;আননেচেচাৰি
475	undivided	ˌəndəˈvaɪdɪd;আনডিভাইডেড্
476	inaccessible	ˌɪnɪkˈsesəbəl;ইনএক্সেচিবল
477	marked	ˈmɑrkt;মাৰ্ক্‌ড
478	briefly	ˈbriːfliː;ব্ৰিফ্‌লি
479	unborn	ˌənˈbɔrn;আনবৰ্ন
480	worshipped	ˈwərʃəp ˈped;ৱৰ্চিপ্‌ড
481	minute	ˈmɪnət;মিনিট
482	so much	ˈsoʊ ˈmətʃ;চ’ মাচ
483	touch	ˈtətʃ;টাচ
484	unanticipated	ˌənænˈtɪsəˌpeɪtəd;আনএনটিচিপেইটেড্
485	excessive	ɪkˈsesɪv;এক্সেচিভ
486	inferior	ɪnˈfɪriːər;ইনফেৰিয়ৰ
487	manager	ˈmænɪdʒər;মেনেজাৰ
488	many	ˈmeniː;মেনি
489	accessible	ɪkˈsesəbəl;এক্সেচিব’ল্
490	following	ˈfɑləwɪŋ;ফাল’ৱিং
491	blind	ˈblaɪnd;ব্লাইণ্ড
492	temporal	ˈtemprəl;টেমপ’ৰেল
493	uninvited	ˌənɪnˈvaɪtɪd;আনইনভাইটিড
494	unrevealed	ˌənrɪˈviːld;আনৰিভিল্‌ড্
495	unproved	ˌənˈpruːvd;আনপ্ৰুভ্‌ড
496	unmanliness	[unmanliness];আনমেনলিনেচ্
497	finger	ˈfɪŋgər;ফিংগাৰ
498	toe	ˈtoʊ;টৌ
499	stomach	ˈstəmək;ষ্টমাক
500	hand	ˈhænd;হেণ্ড
501	chest	ˈtʃest;চেষ্ট
502	traitor	ˈtreɪtər;ট্ৰেইটৰ
503	purposeless	ˈpərpəs ˈles;পাৰ্পাচ্‌লেচ্
504	rewarded	rɪˈwɔrdɪd;ৰিৱাৰডেড
505	buttock	ˈbətək;বাটক্
506	awarded	əˈwɔrdɪd;এৱাৰ্ডেড
507	disruptive	dɪsˈrəptɪv;ডিচ্‌ৰাপটিভ্
508	arm	ˈɑrm;আৰ্ম
509	troublemaking	ˈtrəbəlˌmeɪkəŋ;ট্ৰাব’লমেইকং
510	fallen leaves	ˈfɔlən ˈliːvz;ফলন লিভ্‌জ
511	thumb	ˈθəm;থাম্ব
512	deciduous leaves	dɪˈsɪdʒəwəs ˈliːvz;ডেচিডুৱাচ লিভ্‌জ
513	unexpected	ˌənɪkˈspektəd;আনএক্সপেক্‌টেড্
514	dentifrice	ˈdentəfrəs;ডেণ্টিফ্ৰাইচ্
515	pinnace	ˈpɪnəs;পিনেচ
516	superintendent	[superintendent];চুপাৰিণ্টেণ্ডেণ্ট
517	much	ˈmətʃ;মাচ
518	eyebrow	ˈaɪˌbræʊ;আইব্ৰ’
519	ghilapitha	[ghilapitha];
520	sightless	ˈsaɪtləs;চাইট্‌লেচ
521	boundless	ˈbæʊnləs;বাউণ্ডলেচ
522	tilpitha	[tilpitha];
523	ear	ˈɪr;ইয়েৰ
524	more than one	ˈmɔr ðən ˈwən;ম’ৰ ডেন উৱান
525	concealed	kənˈsiːld;কন্‌চিল্ড
526	lip	ˈlɪp;লিপ
527	coward	ˈkæʊrd;কাউৱাৰ্ড
528	cheek	ˈtʃiːk;চিক্
529	forehead	ˈfɑrəd;ফ’ৰহেইড্
530	palm	ˈpɑm;পাম্
531	help	ˈhelp;হেল্প
532	voice	ˈvɔɪs;ভইচ্
533	unflinching	ˌənˈflɪntʃɪŋ;আনফ্লিঞ্চিং
534	baseless	ˈbeɪsləs;বেইচ্‌লেচ
535	sovereign	ˈsɑvrən;চ’ভেৰেন
536	silent	ˈsaɪlənt;চাইলেণ্ট
537	narikol laru	[narikol] [laru];
538	blast	ˈblæst;ব্লাষ্ট
539	gold	ˈgoʊld;গ’ল্ড
540	silver	ˈsɪlvər;চিলভাৰ
541	bihuwan	[bihuwan];
542	iron	ˈaɪrn;আইৰন্
543	screen	ˈskriːn;স্ক্ৰিন্
544	monitor	ˈmɑnətər;মনিটৰ
545	constitution	ˌkɑnstəˈtuːʃən;কনষ্টিটিউচন
546	clock	ˈklɑk;ক্লক্
547	principal	ˈprɪnspəl;প্ৰিঞ্চিপাল
548	Israeli	ɪzˈreɪliː;ইজৰাইলি
549	one	ˈwən;উৱান
550	four	fɔr;ফ’ৰ
551	five	ˈfaɪv;ফাইভ
552	six	ˈsɪks;চিক্স
553	seven	ˈsevən;চেভেন
554	eight	ˈeɪt;এইট
555	vanish	ˈvænɪʃ;ভেনিচ
556	nine	ˈnaɪn;নাইন
557	ten	ˈten;টেন
558	lie	ˈlaɪ;লাই
559	local	ˈloʊkəl;ল’কেল
560	locally	ˈloʊkliː;ল’কেলি
561	long	ˈlɔŋ;লং
562	market	ˈmɑrkət;মাৰ্কেট
563	maximum	ˈmæksməm;মেক্সিমাম
564	meaningful	ˈmiːnɪŋˌfʊl;মিনিংফুল
565	member	ˈmembər;মেম্বাৰ
566	minimum	ˈmɪnəməm;মিনিমাম
567	minister	ˈmɪnəstər;মিনিষ্টাৰ
568	more	ˈmɔr;ম’ৰ
569	news	ˈnuːz;নিউজ
570	next	ˈnekst;নেক্সট
571	notice	ˈnoʊtəs;ন’টিচ
572	number	ˈnəmbər;নাম্বাৰ
573	off	ˈɔf;অফ্
