Non-agricultural	0x985-0x9950x9c30x9b70x9bf 0x9ac0x9bf0x9b70x9df0x995,  0x985-0x9950x9c30x9b70x9bf 0x9b80x9ae0x9cd0x9ac0x9a80x9cd0x9a70x9c00x9df,  0x985-0x9950x9c30x9b70x9bf
Non-Gazetted-appointment	0x9850x9f00x9be0x99c0x9aa0x9a40x9cd0x9f00x9bf0x9a4 0x9a80x9bf0x9df0x9cb0x997
Non-manual Labour	0x9850x9950x9be0x9df0x9bf0x995 0x9b60x9cd0x9f00x9ae,  0x9850x9950x9be0x9df0x9bf0x995 0x9b60x9cd0x9f00x9ae0x9bf0x995
Non-recurring grant	0x98f0x9950x9950x9be0x9b20x9c00x9a8 0x9850x9a80x9c10x9a60x9be0x9a8,  0x9850x9a80x9be0x9ac0x9f00x9cd0x9a40x9c0 0x9850x9a80x9c10x9a60x9be0x9a8
Non-saleable	0x9850x9ac0x9bf0x9950x9cd0x9f00x9c70x9df
Non-Schedule	0x9850x9a80x9c10x9b80x9c20x99a0x9c00x9a4,  0x9a80x9be0x9ae0x9b80x9c20x99a0x9c00x9a4
Noted	0x9850x9f10x9b90x9bf0x9a4,  0x9b20x9bf0x9960x9bf0x9a4,  0x9ac0x9bf0x9b60x9cd0x9f00x9c10x9a4
Non-co-operation	0x9850x9b80x9b90x9af0x9cb0x997
Non-joinder	0x9850x9b80x9820x9af0x9cb0x99c0x9a8
Notes, Bank	0x9850x9a70x9bf0x9950x9cb0x9b7 0x9aa0x9a40x9cd0x9f0,  0x9ac0x9c70x9820x9950x9a80x9cb0x99f
Notice (verb)	0x9850x9ac0x9b20x9cb0x9950x9a8 0x9950x9f0,  0x9b20x9950x9cd0x9b70x9cd0x9af 0x9950x9f0
Notification	0x9850x9a70x9bf0x9b80x9c20x99a0x9a80x9be,  0x99c0x9be0x9a80x9a80x9c0
Notified	0x9850x9a70x9bf0x9b80x9c20x99a0x9bf0x9a4,  0x9ac0x9bf0x99c0x9cd0x99e0x9be0x9aa0x9bf0x9a4
Notify	0x9850x9a70x9bf0x9b80x9c20x99a0x9bf0x9a4 0x9950x9f0 ,  0x99c0x9be0x9a80x9a80x9c0 0x9a60x9c7,  0x9ac0x9bf0x99c0x9cd0x99e0x9be0x9aa0x9a8 0x9a60x9c7
Nuisance	0x9850x9aa0x9a60x9cb0x9b7,  0x9ac0x9bf0x9f00x9950x9cd0x9a40x9bf0x9950x9f0 0x9950x9be0x9ae
Oath	0x9b90x9b20x9ab,  0x9b60x9aa0x9a4,  0x9850x9820x9970x9c00x9950x9be0x9f0
Motive	0x9aa0x9cd0x9f00x9c70x9f00x9a30x9be,  0x9890x9a60x9cd0x9a60x9c70x9b60x9cd0x9af,  0x9850x9ad0x9bf0x9aa0x9cd0x9f00x9be0x9df
Movable Property	0x9850x9b80x9cd0x9a50x9be0x9f10x9f0 0x9b80x9ae0x9cd0x9aa0x9a40x9cd0x9a40x9bf
Mr. Speaker	0x9850x9a70x9cd0x9af0x9950x9cd0x9b7 0x9ae0x9b90x9cb0x9a60x9df
Minor	0x9970x9cc0x9a3,  0x9a80x9be0x9ac0x9be0x9b20x995,  0x9850x9ac0x9df0x9b80x9cd0x995,  0x9950x9cd0x9b70x9c10x9a60x9cd0x9f0
Minutes of the meeting	0x9850x9a70x9bf0x9ac0x9c70x9b60x9a8 0x9950x9be0x9f00x9cd0x9af0x9cd0x9af0x9ac0x9bf0x9f10x9f00x9a30x9c0
Misdeed	0x9850x9aa0x9950x9f00x9cd0x9ae
Misdemeanour	0x9850x9b80x9a60x9be0x99a0x9f00x9a3
Misdirect	0x9850x9b60x9c10x9a60x9cd0x9a7 0x9a80x9bf0x9f00x9cd0x9a60x9c70x9b6
Misjoinder	0x9850x9aa-0x9b80x9820x9af0x9cb0x99c0x9a8
Money	0x9a70x9a8,  0x9850x9f00x9cd0x9a50x9ae0x9c10x9a60x9cd0x9f00x9be,  0x99f0x9950x9be
Material evidence	0x9850x9a40x9cd0x9af0x9be0x9f10x9b60x9cd0x9af0x9950x9c00x9df 0x9b80x9be0x9950x9cd0x9b70x9cd0x9af,  0x9ac0x9b80x9cd0x9a40x9c10x9970x9a4 0x9aa0x9cd0x9f00x9ae0x9be0x9a3
Meeting	0x9850x9a70x9bf0x9ac0x9c70x9b60x9a8,  0x9ac0x9c80x9a00x995,  0x9b80x9ad0x9be
Memorial	0x9850x9ad0x9cd0x9af0x9be0x9ac0x9c70x9a60x9a8,  0x9b80x9cd0x9ae0x9be0x9f00x995,  0x9b80x9cd0x9ae0x9be0x9f00x995 0x9aa0x9a40x9cd0x9f0
Mica	0x9850x9ad0x9cd0x9f0,  0x9ac0x9be0x9b20x9bf0x99a0x9a80x9cd0x9a60x9be
Micro	0x9850x9a30x9c1
Microscope	0x9850x9a30x9c10x9ac0x9c00x9950x9cd0x9b70x9a3
Microscope Examination	0x9850x9a30x9c10x9ac0x9c00x9950x9cd0x9b70x9a30x9bf0x995 0x9aa0x9f00x9c00x9950x9cd0x9b70x9be
Microphone	0x9850x9a80x9c10x9ad0x9be0x9b7,  0x9ae0x9be0x9870x995
Liquidation	0x9850x9f10x9cd0x9b80x9be0x9df0x9a8,  0x9a80x9bf0x9f00x9cd0x9ae0x9c10x9b20x9950x9f00x9a8
Liquidator	0x9850x9f10x9b80x9be0x9df0x995
Liquor, Illicit	0x9850x9ac0x9c80x9a7 0x9b80x9c10x9f00x9be,  0x9ae0x9a6
Errata List	0x9850x9b60x9c10x99a0x9bf 0x9b80x9c20x99a0x9c0,  0x9ad0x9c10x9b2 0x9b80x9820x9b60x9cb0x9a70x9a80x9c0
Lithosphere	0x9850x9b60x9cd0x9ae0x9ae0x9a30x9cd0x9a10x9b2
Locality	0x9b80x9cd0x9a50x9be0x9a8,  0x9850x99e0x9cd0x99a0x9b2,  0x9a00x9be0x987
Locus stand	0x9850x9a70x9bf0x9950x9be0x9f0,  0x9b80x9cd0x9a50x9bf0x9a40x9be0x9a70x9bf0x9950x9be0x9f0
Lying undisposed	0x9850x9a80x9bf0x9b80x9cd0x9aa0x9a80x9cd0x9a8,  0x9a80x9bf0x9b70x9cd0x9aa0x9a40x9bf 0x9a80x9cb0x9b90x9cb0x9f10x9be0x9950x9c8 0x9a50x9950x9be
Leave	0x99b0x9c10x99f0x9bf,  0x9850x9a80x9c10x9ae0x9a40x9bf
Leave not due or unearned	0x9a60x9c70x9df0x9be0x9a40x9bf0x9f00x9bf0x9950x9cd0x9a4 0x9850x9ac0x9950x9be0x9b6 ,  0x9850x9a80x9be0x9f00x9cd0x99c0x9bf0x9a4 0x99b0x9c10x99f0x9c0
Study Leave	0x9850x9a70x9cd0x9af0x9df0x9a8 0x99b0x9c10x99f0x9c0
Leave preparatory to retirement	0x9850x9f10x9b80x9f00x9aa0x9c20x9f00x9cd0x9ac 0x99b0x9c10x99f0x9c0
Sick Leave	0x9850x9b80x9c10x9b80x9cd0x9a50x9a40x9be0x9f0 0x99b0x9c10x99f0x9c0
Letter Patent	0x9850x9a70x9bf0x9950x9be0x9f0 0x9aa0x9a40x9cd0x9f0,  0x9b20x9c70x99f0x9be0x9f00x99b 0x9aa0x9c70x99f0x9c70x9a80x9cd0x99f
Licence	0x9850x9a80x9c10x99c0x9cd0x99e0x9be 0x9aa0x9a40x9cd0x9f0,  0x9b20x9be0x9870x99a0x9c70x9a80x9cd0x9b8 0x9aa0x99f0x9cd0x99f0x9be
Licence Fees	0x9850x9a80x9c10x99c0x9cd0x99e0x9be 0x9aa0x9a40x9cd0x9f00x9f0 0x9b60x9c10x9b20x9cd0x995,  0x9aa0x99f0x9cd0x99f0x9be0x9f0 0x9960x9be0x99c0x9a80x9be
Licence Form	0x9850x9a80x9c10x99c0x9cd0x99e0x9be 0x9aa0x9cd0x9f00x9aa0x9a40x9cd0x9f0,  0x9aa0x99f0x9cd0x99f0x9be0x9f0 0x9ab0x9f00x9cd‌0x9ae
Licenced	0x9850x9a80x9c10x99c0x9cd0x99e0x9aa0x9cd0x9a4,  0x9aa0x99f0x9cd0x99f0x9be0x9aa0x9cd0x9f00x9be0x9aa0x9cd0x9a4,  0x9b20x9be0x9870x99a0x9c70x9a80x9cd0x9b80x9aa0x9cd0x9f00x9be0x9aa0x9cd0x9a4
Licensing Authority	0x9850x9a80x9c10x99c0x9cd0x99e0x9be0x9aa0x9a8 0x9aa0x9cd0x9f00x9be0x9a70x9bf0x9950x9be0x9f00x9c0
Licensee	0x9850x9a80x9c10x99c0x9cd0x99e0x9be0x9a70x9be0x9f00x9c0 0x9aa0x99f0x9cd0x99f0x9be0x9a60x9be0x9f0
Licensing 	0x9850x9a80x9c10x99c0x9cd0x99e0x9be0x9aa0x9a8,  0x9850x9a80x9c10x99c0x9cd0x99e0x9aa0x9cd0x9a40x9bf 0x9a60x9bf0x9df0x9be,  0x9aa0x99f0x9cd0x99f0x9be0x9a60x9be0x9a8
Licensing  Rules	0x9aa0x99f0x9cd0x99f0x9be0x9f0 0x9a80x9bf0x9df0x9ae,  0x9850x9a80x9c10x99c0x9cd0x99e0x9be0x9f0 0x9a80x9bf0x9df0x9ae
Licensing  Policy	0x9aa0x99f0x9cd0x99f0x9be 0x9a60x9bf0x9df0x9be 0x9a80x9c00x9a40x9bf,  0x9850x9a80x9c10x99c0x9cd0x99e0x9be 0x9a80x9c00x9a40x9bf
Licensor	0x9850x9a80x9c10x99c0x9cd0x99e0x9be 0x9a60x9be0x9a40x9be,  0x9aa0x99f0x9cd0x99f0x9be 0x9a60x9bf0x9930x9a40x9be
Licentiate	0x9850x9a80x9c10x99c0x9cd0x99e0x9be0x9a70x9be0x9f00x9c0,  0x9aa0x99f0x9cd0x99f0x9be0x9a60x9be0x9f0
Licentiate Medical Practitioner	0x9850x9a80x9c10x99c0x9cd0x99e0x9be0x9a70x9be0x9f00x9c0 0x99a0x9bf0x9950x9bf0x9a40x9cd‍0x9b80x995
Leave	0x99b0x9c10x99f0x9bf,  0x9850x9a80x9c10x9ae0x9a40x9bf
Leave not due or unearned	0x9a60x9c70x9df0x9be0x9a40x9bf0x9f00x9bf0x9950x9cd0x9a4 0x9850x9ac0x9950x9be0x9b6 ,  0x9850x9a80x9be0x9f00x9cd0x99c0x9bf0x9a4 0x99b0x9c10x99f0x9c0
Study Leave	0x9850x9a70x9cd0x9af0x9df0x9a8 0x99b0x9c10x99f0x9c0
Leave preparatory to retirement	0x9850x9f10x9b80x9f00x9aa0x9c20x9f00x9cd0x9ac 0x99b0x9c10x99f0x9c0
Sick Leave	0x9850x9b80x9c10x9b80x9cd0x9a50x9a40x9be0x9f0 0x99b0x9c10x99f0x9c0
Letter Patent	0x9850x9a70x9bf0x9950x9be0x9f0 0x9aa0x9a40x9cd0x9f0,  0x9b20x9c70x99f0x9be0x9f00x99b 0x9aa0x9c70x99f0x9c70x9a80x9cd0x99f
Licence	0x9850x9a80x9c10x99c0x9cd0x99e0x9be 0x9aa0x9a40x9cd0x9f0,0x9b20x9be0x9870x99a0x9c70x9a80x9cd0x9b8 0x9aa0x99f0x9cd0x99f0x9be
Licence Fees	0x9850x9a80x9c10x99c0x9cd0x99e0x9be 0x9aa0x9a40x9cd0x9f00x9f0 0x9b60x9c10x9b20x9cd0x995 ,0x9aa0x9be0x99f0x9cd0x99f0x9be0x9f0 0x9960x9be0x99c0x9a80x9be
Licence Form	0x9850x9a80x9c10x99c0x9cd0x99e0x9be 0x9aa0x9cd0x9f00x9aa0x9a40x9cd0x9f0 ,0x9aa0x9be0x99f0x9cd0x99f0x9be0x9f0 0x9ab0x9f00x9ae
Licenced	0x9850x9a80x9c10x99c0x9cd0x99e0x9aa0x9cd0x9a4,0x9aa0x99f0x9cd0x99f0x9be0x9aa0x9cd0x9f00x9be0x9aa0x9cd0x9a4,0x9b20x9be0x9870x99a0x9c70x9a80x9cd0x9b80x9aa0x9cd0x9f00x9be0x9aa0x9cd0x9a4
Licensing Authority	0x9850x9a80x9c10x99c0x9cd0x99e0x9be0x9aa0x9a8 0x9aa0x9cd0x9f00x9be0x9a70x9bf0x9950x9be0x9f00x9c0
Licensee	0x9850x9a80x9c10x99c0x9cd0x99e0x9be0x9a70x9be0x9f00x9c0 0x9aa0x99f0x9cd0x99f0x9be0x9a60x9be0x9f0
Licensing 	0x9850x9a80x9c10x99c0x9cd0x99e0x9be0x9aa0x9a8,0x9850x9a80x9c10x99c0x9cd0x99e0x9aa0x9cd0x9a40x9bf 0x9a60x9bf0x9df0x9be,0x9aa0x99f0x9cd0x99f0x9be0x9a60x9be0x9a8
Licensor	0x9850x9a80x9c10x99c0x9cd0x99e0x9be 0x9a60x9be0x9a40x9be,0x9aa0x99f0x9cd0x99f0x9be 0x9a60x9bf0x9930x9a40x9be
Licentiate	0x9850x9a80x9c10x99c0x9cd0x99e0x9be0x9a70x9be0x9f00x9c0,0x9aa0x99f0x9cd0x99f0x9be0x9a60x9be0x9f0
Licentiate Medical Practitioner	0x9850x9a80x9c10x99c0x9cd0x99e0x9be0x9a70x9be0x9f00x9c0 0x99a0x9bf0x9950x9bf0x9a40x9cd‍0x9b80x995
Un Productive Labour 	0x9850x9a80x9c10x9890x9a40x9cd‍0x9aa0x9be0x9a60x9a80x9cd0x9b60x9c00x9b2 0x9b60x9cd0x9f00x9ae
Laccolith	0x9850x9a70x9830x9b60x9bf0x9b2
Land	0x9ad0x9c20x9ae0x9bf,  0x9850x9f10x9a40x9f00x9a3 0x9950x9f0,  0x9a80x9ae0x9be,  0x9ae0x9be0x99f0x9bf0x9a4 0x9a80x9ae0x9be
Landing Permit	0x9850x9f10x9a40x9f00x9a8 0x9850x9a80x9c10x99c0x9cd0x99e0x9be0x9aa0x9a40x9cd0x9f0
Land Record	0x9850x9a70x9bf0x9950x9be0x9f0 0x9ad0x9c20x9ae0x9bf0x9b20x9c70x9960x9be
Last Post	0x9850x9a80x9cd0x9a40x9bf0x9ae 0x9ac0x9bf0x9a30x9cd0x9a10x9b2(0x9ae0x9f00x9a30x9be0x9a80x9cd0x9a40x9bf0x995 )
Short Lease	0x9850x9b20x9cd0x9aa0x9950x9be0x9b20x9c00x9a8 0x9aa0x9a40x9cd0x9a40x9a8
Un Productive Labour 	0x9850x9a80x9c10x9890x9a40x9cd‍0x9aa0x9be0x9a60x9a80x9cd0x9b60x9c00x9b2 0x9b60x9cd0x9f00x9ae
Laccolith	0x9850x9a70x9830x9b60x9bf0x9b2
Land	0x9ad0x9c20x9ae0x9bf,  0x9850x9f10x9a40x9f00x9a3 0x9950x9f0,  0x9a80x9ae0x9be,  0x9ae0x9be0x99f0x9bf0x9a4 0x9a80x9ae0x9be
Landing Permit	0x9850x9f10x9a40x9f00x9a8 0x9850x9a80x9c10x99c0x9cd0x99e0x9be0x9aa0x9a40x9cd0x9f0
Land Record	0x9850x9a70x9bf0x9950x9be0x9f0 0x9ad0x9c20x9ae0x9bf0x9b20x9c70x9960x9be
Last Post	0x9850x9a80x9cd0x9a40x9bf0x9ae 0x9ac0x9bf0x9a30x9cd0x9a10x9b2(0x9ae0x9f00x9a30x9be0x9a80x9cd0x9a40x9bf0x995 )
Short Lease	0x9850x9b20x9cd0x9aa0x9950x9be0x9b20x9c00x9a8 0x9aa0x9a40x9cd0x9a40x9a8
Investigate	0x9850x9a80x9c10x9b80x9a80x9cd0x9a70x9be0x9a8,  0x9850x9a80x9cd0x9ac0x9c70x9b70x9a3 0x9950x9f0
Investigating Officer	0x9850x9a80x9c10x9b80x9a80x9cd0x9a70x9be0x9a8 0x9aa0x9cd0x9f00x9be0x9a70x9bf0x9950x9be0x9f00x9c0,  0x9850x9a80x9c10x9b80x9a80x9cd0x9a70x9be0x9a80x9950x9be0x9f00x9c0 0x9ac0x9bf0x9b70x9df0x9be
Investigation	0x9850x9a80x9c10x9b80x9a80x9cd0x9a70x9be0x9a8,  0x9850x9a80x9cd0x9ac0x9c70x9b70x9a3 (Inspection)
Investigation Department	0x9850x9a80x9c10x9b80x9a80x9cd0x9a70x9be0x9a8 0x9ac0x9bf0x9ad0x9be0x997
Investiture	0x9850x9a70x9bf0x9950x9be0x9f0 0x9a60x9be0x9a8
Involuntary Action	0x9850x9a80x9c80x99a0x9cd0x99b0x9bf0x995 0x9950x9be0x9f00x9cd0x9af0x9cd0x9af
Iron ore	0x9860x9df0x9cb0x9b70x9b70x9cd0x995,  0x9850x9b60x9cb0x9a70x9bf0x9a4 0x9b20x9cb0x9b90x9be
Irredeemable	0x9850x9b60x9cb0x9a70x9cd0x9af
Irregular Practice	0x9850x9a80x9bf0x9df0x9ae0x9bf0x9a4 0x9950x9be0x9f00x9cd0x9af0x9cd0x9af 0x9ac0x9be 0x9a60x9b80x9cd0x9a40x9c10x9f0 -0x9f0 0x9a80x9be0x9ae 0x9980x9cb0x9b70x9bf0x9a4 0x9b9’0x9b2
Irregularity	0x9850x9a80x9bf0x9df0x9ae0x9bf0x9a40x9be
Irrepairable	0x9850x9aa0x9c20x9f00x9a30x9c00x9df,  0x9b80x9820x9b80x9cd0x9950x9be0x9f00x9f0 0x9850x9a40x9c00x9a4
Irrelevant	0x9850x9b80x9820x9970x9a4,  0x9850x9aa0x9cd0x9f00x9be0x9b80x9820x9970x9bf0x995
Irresistible	0x9890x9a60x9cd0x9a60x9be0x9ae,  0x9850x9a60x9ae0x9a80x9c00x9df
Isolated	0x9aa0x9c30x9a50x9950x9950x9c30x9a4,  0x9850x9950x9b20x9b60x9f00x9c00x9df0x9be 0x9950x9f00x9be
Jetty	0x9850x9f10x9a40x9f00x9a3,  0x9b80x9c70x9a40x9c1,  0x99c0x9c70x99f0x9c0
Jewellery	0x9850x9b20x9820x9950x9be0x9f0
Judicial, Quasi	0x9850x9f00x9cd0x9a7 0x9a80x9cd0x9af0x9be0x9df0x9bf0x995
Junior	0x9950x9a30x9bf0x9b70x9cd0x9a0,  0x9850x9f10x9f0
Jurisdiction	0x9850x9a70x9bf0x9950x9be0x9f0 0x9950x9cd0x9b70x9c70x9a40x9cd0x9f0,  0x98f0x9b20x9c70x9950x9be
Illegal	0x9850x9ac0x9c80x9a7,  0x9ac0x9c7-0x9860x9870x9a80x9c0
Illegal evidence	0x9850x9ac0x9c80x9a7 0x9b80x9be0x9950x9cd0x9b70x9cd0x9af
Illegality	0x9850x9ac0x9c80x9a70x9a40x9be
Illegal payment	0x9850x9ac0x9c80x9a7 0x9860x9a60x9be0x9df
Illegal Practice	0x9850x9ac0x9c80x9a7 0x9860x99a0x9f00x9a3 0x9ac0x9be 0x9950x9be0x9f00x9cd0x9af0x9cd0x9af
Illegitimate	0x9850x9ac0x9c80x9a7,  0x99c0x9be0x9f00x99c
Illicit	0x9850x9ac0x9c80x9a7,  0x9a80x9bf0x9b70x9bf0x9a60x9cd0x9a7
Illicit Intimacy	0x9850x9ac0x9c80x9a7 0x9aa0x9cd0x9f00x9c00x9a40x9bf
Illicit Intercourse	0x9850x9ac0x9c80x9a7 0x9b80x9b90x9ac0x9be0x9b8
Imitation	0x9850x9a80x9c10x9950x9f00x9a3,  0x9950x9c40x9a40x9cd0x9f00x9bf0x9ae
Immature	0x9850x9aa0x9f00x9bf0x9aa0x9950x9cd0x995
Immortal Traffic Act	0x9850x9a80x9c80x9a40x9bf0x995 0x9ac0x9cd0x9af0x9f10x9b80x9be0x9df 0x9850x9a70x9bf0x9a80x9bf0x9df0x9cd0x9ae
Immunity	0x9ac0x9bf0x9ae0x9c10x9950x9cd0x9a40x9bf,  0x9850x9a80x9be0x9950x9cd0x9f00x9ae0x9cd0x9af0x9a40x9be
Imparitible Estates	0x9850x9ac0x9bf0x9ad0x9be0x99c0x9cd0x9af 0x9ad0x9c20x9ae0x9bf0x9960x9a30x9cd0x9a1
Imperative	0x9850x9a80x9bf0x9ac0x9be0x9f00x9cd0x9af0x9cd0x9af,  0x9850x9b20x9820x9980x9a80x9c00x9df
Imprest	0x9850x9970x9cd0x9f00x9a60x9be0x9df
Improbable	0x9850x9b80x9ae0x9cd0x9ad0x9f1
Impurities	0x9ae0x9b20x9bf0x9a80x9a40x9be,  0x9850x9b60x9c10x9a60x9cd0x9a70x9bf
Inability	0x9850x9b80x9be0x9ae0x9f00x9cd0x9a5
Inadequate	0x9850x9aa0x9f00x9cd0x9af0x9cd0x9af0x9be0x9aa0x9cd0x9a4,  0x9850x9950x9c10x9b20x9a8
Inadequacy	0x9850x9aa0x9f00x9cd0x9af0x9cd0x9af0x9be0x9aa0x9cd0x9a40x9a40x9be
Inadmissible	0x9850x9970x9cd0x9f00x9be0x9b90x9cd0x9af,  0x9850x9970x9cd0x9f00x9b90x9a30x9c00x9df
Inadvertent	0x9850x9b80x9be0x9f10x9cd0x9a70x9be0x9a8,  0x9850x9ae0x9a80x9cb0x9af0x9cb0x997
inadvertently	0x9850x9b80x9be0x9f10x9a70x9be0x9a80x9a40x983,  0x9850x9ae0x9a80x9af0x9cb0x9970x9ac0x9b60x9a40x983
In arrears	0x9850x9f10x9b60x9bf0x9b70x9cd0x99f,  0x9ac0x9be0x9950x9c0 0x9aa0x9f00x9be,  0x9ac0x9950x9c70x9df0x9be
Incitement	0x9850x9aa0x9aa0x9cd0x9f00x9c70x9f00x9a30x9be,  0x9890x99a0x99f0x9a80x9bf
In Continuation of	0x9850x9a80x9c10x9ac0x9c40x9a40x9cd0x9a40x9bf0x9950x9cd0x9f00x9ae0x9c7,  0x9850x9a80x9c10x9950x9cd0x9f00x9ae0x9c7,  0x9aa0x9cd0x9f00x9b80x9820x9970x9a4,  0x9aa0x9cd0x9f00x9b80x9820x9970x9950x9cd0x9f00x9ae0x9c7,  0x9b80x9a80x9cd0x9a60x9f00x9cd0x9ad0x9950x9cd0x9f00x9ae0x9c7,  0x9b80x9a80x9cd0x9a60x9f00x9cd0x9ad0x9a4
Incoherent	0x9850x9b80x9b20x9820x997
Incognite	0x9850x99c0x9cd0x99e0x9be0x9a4,  0x99b0x9cd0x9a60x9cd0x9ae0x9ac0x9c70x9b60x9c0
Incapacity	0x9850x9b80x9be0x9ae0x9f00x9cd0x9a50x9a40x9be,  0x9850x9b80x9be0x9ae0x9f00x9cd0x9a50x9cd0x9af
Incompetence	0x9850x9950x9cd0x9b70x9ae0x9a40x9be,  0x9850x9b80x9be0x9ae0x9f00x9cd0x9a50x9cd0x9af0x9a40x9be
Inconsistency	0x9850x9b80x9820x9970x9a40x9bf,  0x9ac0x9bf0x9f00x9cb0x9a7,  0x9850x9b80x9be0x9ae0x99e0x9cd0x99c0x9b80x9cd0x9af
Incongruous	0x9850x9b80x9820x9970x9a4,  0x9b80x9820x9970x9a40x9bf0x9ac0x9bf0x9b90x9c00x9a8
Incorrigible	0x9b80x9820x9b60x9cb0x9a70x9a80x9be0x9a40x9c00x9a4,  0x9850x9b60x9cb0x9a70x9a80x9c00x9df
Hoarding and Profiteering	0x9850x9a40x9bf0x9b80x99e0x9cd0x99a0x9df 0x9860x9f00x9c1 0x9b20x9be0x9ab0x9960x9cb0x9f00x9c0
Honorary	0x9850x9ac0x9c80x9a40x9a80x9bf0x995
Honorary Liquor Prohibition Organiser	0x9850x9ac0x9c80x9a40x9a80x9bf0x995 0x9b80x9c10x9f00x9be0x9a80x9bf0x9ac0x9be0x9f00x9a30x9c0 0x9b80x9820x9970x9a00x995
Horse Power	0x9850x9b60x9cd0x9ac0x9b60x9950x9cd0x9a40x9bf
